,emotion,selection0,selection1,label
0,"['distraught', 'pain']","When they were done, he decided to take them out.",I was in so much pain.,1
1,"['anticipatory', 'desire', 'needy']",Dominique was taking swimming lessons.,Kayla wanted a new shirt.,1
2,"['fear', 'worried', 'dangerous']","A few hours into her painting, a man walked by.",They searched him and found his pocketknife!,1
3,"['proud', 'satisfied', 'healthy']",She died without talking to her daughter.,Tom had lost quite a bit of weight.,1
4,"['expectant', 'hungry', 'needy']","Jim Bob stomped on its neck, breaking it.",The kids were hungry after school.,1
5,"['relaxed', 'peaceful']",My friends and I were bored one day.,"I sat on a bench, read and drank.",1
6,"['proud', 'lucky']",She took it with her abroad.,I checked in my closet.,0
7,"['disappointed', 'unwanted', 'sad']",The owner told Paul that they did not need any more staff.,Gina's family had been back in Illinois for 2 weeks.,0
8,"['embarrassed', 'frustrated', 'regret']","She took the dog to the vet, where she got a clean bill of health.",But the weak legs of the desk collapsed.,1
9,"['excited', 'confident', 'nervous', 'exhilarated', 'adrenaline']",Hannah told Brad that she hated him.,"As he fell through the air, he remembered his training.",1
10,"['worried', 'upset']",The teenager started telling jokes like he learned from Kevin.,"When Nancy received her exam, she panicked.",1
11,"['surprised', 'frustrated', 'worried', 'okay', 'smart', 'annoyed']",He looked down and saw he was badly stabbed by a pufferfish.,Frustrated she decided to come home early and surprise them.,1
12,"['hurried', 'nervous', 'scared', 'happy', 'suspicious', 'concerned']","In the hallway, a teacher asked where his hall pass was.",A worker recommended a game to him.,0
13,['unremorseful'],Kristy wanted to pour a glass of water.,Sally was starting rumors about another girl in glass.,1
14,"['sad', 'happy']","Now, drunk Tom is no longer alive.","One day, he was being careless and fell from the tree.",0
15,"['angry', 'unimpressed', 'annoyed', 'guilty']","She cried, pleaded, and screamed at him.",She stared at the person watching.,0
16,"['helpful', 'awesome', 'nice', 'super', 'hopeful']",I bought a supplement that promised to cure her.,"When I looked into the food, I found out that it was raw.",0
17,['surprised'],Later we found out the son was gay.,She had about a dozen of them.,0
18,"['excited', 'studious', 'interested']",Kija has been researching methods of healthy eating.,"But to his surprise, it fit perfectly fine!",0
19,"['great', 'clever', 'good', 'relieved', 'grateful', 'happy']",I was passing out flyers for a real estate company.,I gave up chocolate and the family was much happier.,1
20,"['relieved', 'happy']",There were several debates with other candidates.,Tom finally found it.,1
21,['tired'],The community pooled their money together to rebuild the homes.,John is sleepy.,1
22,"['hopeful', 'satisfied']",They won the competition.,Jill hopes to return to the mountain again next year.,1
23,"['proud', 'excited']",She watched as the doll was passed around the room.,Eventually Garry was inspired to open his own bike shop.,0
24,"['surprise', 'scared', 'startled']",When it broke I fell straight to the floor.,Jen looked up.,1
25,"['surprised', 'hopeful', 'proud', 'confident']",I go sometimes but I get bored.,Years later Johnny became a black belt.,1
26,"['romantic', 'ebullient']",She made a meal for a date.,Then she rocketed into the sky.,0
27,"['attentive', 'uncomfortable', 'relaxed']",During a typical meeting I was sitting in a wooden chair.,He expected it would wake him up at dawn every morning.,0
28,"['aggravated', 'trust', 'hopeful']",He couldn't decide which restaurant he would take his date to.,He visited the guidance counselor on the first day.,1
29,"['concerned', 'good', 'nervous', 'uneasy', 'helpful', 'hopeful']",She looked at them with a grimace.,She asked a student where the science center was.,1
30,"['repentant', 'guilty', 'sneaky', 'naughty', 'disappointed']",He knew then that he had to stop stealing and do right.,"She fussed over a complex recipe she'd never tried, fingers crossed.",0
31,['nervous'],She had never cut hair before but decided to try.,After lunch on the way home tom felt a tremble.,0
32,"['pained', 'pain']",I decided to personalize the background.,Tom broke his arm.,1
33,"['satisfied', 'happy']",He walked by without getting it.,They served all their guests delicious food in a timely manner.,1
34,"['accomplished', 'confident', 'worthy', 'proud', 'overjoyed']","When he got chosen to undergo the initiation, he was elated.",He aced the audition.,1
35,"['excited', 'pleased', 'knowledgeable']",Tom said Jimi Hendrix was the best guitar player in history.,Moments later she noticed a groundhog peeking out from under the shed.,0
36,"['happy', 'joyful', 'excited', 'proud', 'joy', 'excitement', 'envious', 'impressed', 'positive', 'jealous']",Everyone she showed loved it.,They watched funny videos when they did not play.,0
37,"['loved', 'happy', 'loving', 'confuse']",So they signed the deed and officially became homeowners!,He named it Pete.,1
38,"['surprised', 'observation', 'confident', 'joy']",Everybody noticed his eyes looked different.,She took good care of them until she slept on the grass on her lawn.,0
39,"['intrigued', 'confident', 'competent', 'grateful']",She stared at the traffic happy to have made her escape.,In college he noticed he loved studying medicine more than hockey.,1
40,"['sad', 'surprised', 'failing']","When it came to tests, Jason never did as well.",I went inside and rented a movie.,0
41,"['lucky', 'cautious', 'relieved', 'embarrassed', 'amused']",Luckily the hole in the wall was easily repaired.,Tina turned off the radio.,0
42,['happy'],"They gave him some Benadryl, and told him not to eat peanut butter.",They took lots of pictures and enjoyed the sights.,1
43,"['suspicious', 'suspecting']","Before anyone could react, the bushes were on fire.",Perry had no idea and thought they went to the movies.,1
44,"['happy', 'pride']",She was pleased to see the empty field turned into a park.,But he left without double checking.,0
45,"['happy', 'pleased']",It would require close to $500 of work.,Sam bought a piece of art at a fair.,1
46,"['flexible', 'powerful', 'inventive']",They both had a wonderful time at the play.,It helped him very much in developing new perfumes.,1
47,"['jovial', 'happy', 'involved', 'inattentive', 'entertained', 'exuberant']",A sound wakes me in the middle of the night.,We all had a blast throwing food.,1
48,"['worried', 'incompetent', 'nervous', 'frustrated', 'determined']","Passing by the Ferris Wheel, they got in line to ride.",When he got to school he tried to study.,1
